%time,field.data
1322300000000,-1.01887965202
1322330000000,-1.0187523365
1322360000000,-1.01763439178
1322390000000,-1.01612210274
1322430000000,-1.01322722435
1322480000000,-1.01091957092
1322480000000,-1.00742697716
1322480000000,-1.00505709648
1322520000000,-1.00144219398
1322530000000,-0.996931791306
1322570000000,-0.991862773895
1322620000000,-0.987059473991
1322620000000,-0.982041597366
1322660000000,-0.977911949158
1322660000000,-0.971441745758
1322700000000,-0.965800642967
1322700000000,-0.961653709412
1322750000000,-0.955709457397
1322750000000,-0.95064163208
1322790000000,-0.945121526718
1322800000000,-0.937633633614
1322850000000,-0.931724905968
1322890000000,-0.925787091255
1322940000000,-0.919971346855
1322940000000,-0.91427719593
1322980000000,-0.907430887222
1322980000000,-0.902195453644
1323030000000,-0.897056341171
1323070000000,-0.889976263046
1323070000000,-0.884312152863
1323120000000,-0.876150846481
1323130000000,-0.869304895401
1323170000000,-0.861588954926
1323220000000,-0.85472202301
1323260000000,-0.846913099289
1323260000000,-0.83886051178
1323310000000,-0.832008004189
1323330000000,-0.820354342461
1323370000000,-0.810303092003
1323410000000,-0.802283167839
1323460000000,-0.792931318283
1323460000000,-0.785266399384
1323500000000,-0.776971936226
1323520000000,-0.769153356552
1323560000000,-0.760713815689
1323610000000,-0.751650810242
1323610000000,-0.742666125298
1323650000000,-0.732421398163
1323660000000,-0.723855018616
1323700000000,-0.716687917709
1323750000000,-0.706178426743
1323790000000,-0.697880268097
1323790000000,-0.687840938568
1323830000000,-0.677750825882
1323840000000,-0.66862988472
1323890000000,-0.657694339752
1323930000000,-0.648022770882
1323970000000,-0.639584779739
1323970000000,-0.629633545876
1324020000000,-0.619426846504
1324020000000,-0.61106801033
1324070000000,-0.602601408958
1324110000000,-0.593434929848
1324110000000,-0.583090424538
1324160000000,-0.57296192646
1324170000000,-0.565350413322
1324210000000,-0.55638051033
1324250000000,-0.545407652855
1324300000000,-0.537214040756
1324300000000,-0.528614997864
1324340000000,-0.518543601036
1324350000000,-0.510610461235
1324390000000,-0.501084446907
1324430000000,-0.491733551025
1324480000000,-0.482779502869
1324530000000,-0.469916343689
1324530000000,-0.459901332855
1324570000000,-0.450331330299
1324580000000,-0.441637158394
1324620000000,-0.434696912766
1324670000000,-0.424544692039
1324720000000,-0.417395830154
1324720000000,-0.409053206444
1324760000000,-0.400556564331
1324770000000,-0.392808437347
1324820000000,-0.381955862045
1324860000000,-0.372279763222
1324900000000,-0.361605286598
1324950000000,-0.35225379467
1324950000000,-0.344813585281
1324990000000,-0.338825106621
1325010000000,-0.332149505615
1325050000000,-0.326036691666
1325100000000,-0.318895578384
1325140000000,-0.311878442764
1325140000000,-0.307426095009
1325180000000,-0.298920154572
1325180000000,-0.292763590813
1325230000000,-0.284629702568
1325280000000,-0.278379321098
1325280000000,-0.270586848259
1325320000000,-0.26458799839
1325330000000,-0.257940888405
1325370000000,-0.25240957737
1325420000000,-0.246668219566
1325460000000,-0.240948915482
1325460000000,-0.23492026329
1325510000000,-0.228765487671
1325510000000,-0.223095655441
1325560000000,-0.217230558395
1325600000000,-0.210902690887
1325640000000,-0.205694913864
1325640000000,-0.19956600666
1325690000000,-0.194882154465
1325690000000,-0.189619660378
1325740000000,-0.184265732765
1325780000000,-0.180195093155
1325820000000,-0.17530632019
1325820000000,-0.169332265854
1325860000000,-0.165690422058
1325870000000,-0.161345481873
1325910000000,-0.156594276428
1325950000000,-0.151822209358
1326000000000,-0.147314786911
1326000000000,-0.143064141273
1326040000000,-0.138076543808
1326050000000,-0.135496377945
1326090000000,-0.130683898926
1326140000000,-0.127216339111
1326190000000,-0.121291160583
1326190000000,-0.116502165794
1326230000000,-0.113094806671
1326250000000,-0.108572840691
1326300000000,-0.105236053467
1326340000000,-0.101092457771
1326390000000,-0.0966455936432
1326390000000,-0.0926332473755
1326430000000,-0.0899226665497
1326450000000,-0.0876595973969
1326490000000,-0.0846877098083
1326530000000,-0.0821048021317
1326580000000,-0.0805635452271
1326580000000,-0.076161980629
1326620000000,-0.0735881328583
1326630000000,-0.0708051919937
1326670000000,-0.0688934326172
1326720000000,-0.0656102895737
1326720000000,-0.0642533302307
1326770000000,-0.0621539354324
1326780000000,-0.0586816072464
1326830000000,-0.0579645633698
1326880000000,-0.0543719530106
1326880000000,-0.0528811216354
1326920000000,-0.050577044487
1326930000000,-0.047732591629
1326970000000,-0.0447150468826
1327020000000,-0.0420458316803
1327060000000,-0.0401028394699
1327060000000,-0.0392357110977
1327100000000,-0.035888671875
1327110000000,-0.0352346897125
1327150000000,-0.0343109369278
1327200000000,-0.0320107936859
1327240000000,-0.0289661884308
1327240000000,-0.0279858112335
1327290000000,-0.0267894268036
1327300000000,-0.0250319242477
1327340000000,-0.0221674442291
1327390000000,-0.0196440219879
1327430000000,-0.0162571668625
1327480000000,-0.0165175199509
1327520000000,-0.0137375593185
1327520000000,-0.0144637823105
1327570000000,-0.0151405334473
1327580000000,-0.0134383440018
1327630000000,-0.0112879276276
1327670000000,-0.00869989395142
1327720000000,-0.00843286514282
1327720000000,-0.0074577331543
1327760000000,-0.00648820400238
1327760000000,-0.00494396686554
1327800000000,-0.00510084629059
1327800000000,-0.00622117519379
1327850000000,-0.00447106361389
1327860000000,-0.00411319732666
1327900000000,-0.00195920467377
1327950000000,-0.000738739967346
1327990000000,-0.000277996063232
1327990000000,0.00171893835068
1328040000000,0.00307285785675
1328040000000,0.00167149305344
1328080000000,0.00288206338882
1328130000000,0.00349920988083
1328170000000,0.00445657968521
1328170000000,0.00514167547226
1328220000000,0.0056871175766
1328230000000,0.00523847341537
1328280000000,0.00681805610657
1328330000000,0.00858980417252
1328370000000,0.00784242153168
1328410000000,0.00894165039062
1328460000000,0.00916004180908
1328460000000,0.0100120902061
1328500000000,0.00993794202805
1328510000000,0.0104340910912
1328550000000,0.0107024908066
1328590000000,0.0113028287888
1328640000000,0.0113022327423
1328640000000,0.0129028558731
1328690000000,0.0121338367462
1328690000000,0.0114068984985
1328730000000,0.0123016834259
1328770000000,0.0125072598457
1328820000000,0.0122143626213
1328820000000,0.0137200951576
1328860000000,0.0134079456329
1328870000000,0.0122268795967
1328910000000,0.0140221118927
1328960000000,0.0118896365166
1329000000000,0.014032125473
1329000000000,0.0128335952759
1329050000000,0.0127047300339
1329050000000,0.0131134390831
1329090000000,0.014401614666
1329130000000,0.0136430859566
1329180000000,0.012679874897
1329180000000,0.0137128829956
1329220000000,0.0129279494286
1329230000000,0.0134389400482
1329270000000,0.0142441987991
1329320000000,0.0127283334732
1329320000000,0.0121808052063
1329360000000,0.0116213560104
1329380000000,0.0134288668633
1329420000000,0.0120652914047
1329470000000,0.0124108791351
1329510000000,0.0123853683472
1329510000000,0.0125370621681
1329550000000,0.0116762518883
1329570000000,0.0110094547272
1329610000000,0.0107320547104
1329650000000,0.0108327269554
1329700000000,0.0113382935524
1329740000000,0.010512650013
1329740000000,0.0103311538696
1329790000000,0.00983589887619
1329800000000,0.00969338417053
1329840000000,0.00988131761551
1329890000000,0.00917714834213
1329930000000,0.00801861286163
1329980000000,0.00791865587234
1329980000000,0.00771355628967
1330020000000,0.00804597139359
1330020000000,0.00836372375488
1330070000000,0.0103140473366
1330110000000,0.00696933269501
1330150000000,0.00645118951797
1330150000000,0.00720477104187
1330200000000,0.00663459300995
1330210000000,0.00566643476486
1330250000000,0.00740277767181
1330300000000,0.00599318742752
1330340000000,0.00745689868927
1330380000000,0.00571167469025
1330430000000,0.00562280416489
1330430000000,0.00494247674942
1330480000000,0.00446557998657
1330480000000,0.00494879484177
1330520000000,0.0052889585495
1330530000000,0.00548601150513
1330570000000,0.00278568267822
1330620000000,0.00328779220581
1330620000000,0.00270140171051
1330670000000,0.00289279222488
1330680000000,0.00289744138718
1330720000000,0.00498044490814
1330760000000,0.00286555290222
1330810000000,0.00326031446457
1330810000000,0.00261324644089
1330860000000,0.00362849235535
1330870000000,0.00299042463303
1330910000000,0.00281143188477
1330950000000,0.00330984592438
1330950000000,0.00319737195969
1331000000000,0.00348043441772
1331010000000,0.00234627723694
1331050000000,0.00259876251221
1331100000000,0.00251215696335
1331140000000,0.00226557254791
1331140000000,0.00182735919952
1331190000000,0.00211894512177
1331190000000,0.00338232517242
1331230000000,0.00180077552795
1331250000000,0.00291609764099
1331300000000,0.00423181056976
1331340000000,0.00242125988007
1331380000000,0.00210058689117
1331380000000,0.00186139345169
1331430000000,0.00238841772079
1331450000000,0.00250947475433
1331490000000,0.00150620937347
1331530000000,0.00120717287064
1331580000000,0.00159567594528
1331580000000,0.00151985883713
1331620000000,0.00232762098312
1331630000000,0.00214368104935
1331670000000,0.00233864784241
1331720000000,0.00360512733459
1331720000000,0.00385987758636
1331760000000,0.00274878740311
1331770000000,0.00230699777603
1331810000000,0.00208407640457
1331860000000,0.0018697977066
1331860000000,0.00231468677521
1331900000000,0.00227236747742
1331920000000,0.00279867649078
1331960000000,0.00302016735077
1332010000000,0.00266808271408
1332050000000,0.0031972527504
1332060000000,0.000922858715057
1332100000000,0.00131845474243
1332100000000,0.0023010969162
1332140000000,0.00170719623566
1332150000000,0.00151491165161
1332190000000,0.00293904542923
1332240000000,0.00201785564423
1332280000000,0.00245201587677
1332280000000,0.00141805410385
1332330000000,0.00130999088287
1332330000000,0.00238001346588
1332370000000,0.00190186500549
1332380000000,0.00180095434189
1332420000000,0.00176697969437
1332470000000,0.00254088640213
1332470000000,0.00288820266724
1332510000000,0.00265377759933
1332510000000,0.00243991613388
1332550000000,0.00303822755814
1332570000000,0.00111186504364
1332620000000,0.000860989093781
1332660000000,0.00243151187897
1332660000000,0.00367194414139
1332710000000,0.00322681665421
1332730000000,0.00277137756348
1332770000000,0.00185310840607
1332810000000,0.00369000434875
1332860000000,0.00322067737579
1332860000000,0.00322109460831
1332900000000,0.00240904092789
1332910000000,0.00223928689957
1332950000000,0.00303536653519
1333000000000,0.00191122293472
1333040000000,0.00318562984467
1333040000000,0.00172466039658
1333090000000,0.00262403488159
1333090000000,0.00268179178238
1333130000000,0.00318598747253
1333180000000,0.00317245721817
1333220000000,0.00286370515823
1333220000000,0.00224173069
1333270000000,0.00320237874985
1333270000000,0.00333875417709
1333310000000,0.00387012958527
1333350000000,0.00391447544098
1333400000000,0.00385874509811
1333400000000,0.00518482923508
1333450000000,0.00392228364944
1333450000000,0.00467199087143
1333500000000,0.00443243980408
1333550000000,0.00383639335632
1333550000000,0.00369584560394
1333590000000,0.00337141752243
1333600000000,0.00354611873627
1333640000000,0.00403183698654
1333690000000,0.00284725427628
1333730000000,0.00328171253204
1333730000000,0.00494515895844
1333780000000,0.00378608703613
1333790000000,0.00327533483505
1333830000000,0.00404971837997
1333880000000,0.00311696529388
1333880000000,0.0031316280365
1333930000000,0.00281476974487
1333930000000,0.00350338220596
1333970000000,0.00301718711853
1334020000000,0.0022240281105
1334070000000,0.00151187181473
1334070000000,0.000956952571869
1334110000000,0.00219231843948
1334140000000,0.00177299976349
