%time,field.data
589930000000,-1.01909947395
589960000000,-1.01823377609
590000000000,-1.0187561512
590050000000,-1.01590538025
590050000000,-1.01450586319
590090000000,-1.01087546349
590090000000,-1.00940990448
590140000000,-1.00508451462
590140000000,-1.00112605095
590180000000,-0.997278094292
590180000000,-0.993959546089
590220000000,-0.989338994026
590220000000,-0.986321091652
590220000000,-0.980427026749
590270000000,-0.976690173149
590270000000,-0.971754431725
590290000000,-0.966735005379
590300000000,-0.961096763611
590350000000,-0.954860091209
590350000000,-0.949494361877
590400000000,-0.943764925003
590400000000,-0.935210466385
590440000000,-0.9304240942
590440000000,-0.924216866493
590480000000,-0.917936444283
590480000000,-0.913779139519
590530000000,-0.908277869225
590530000000,-0.90430855751
590570000000,-0.898733735085
590570000000,-0.89172565937
590620000000,-0.886863708496
590620000000,-0.878780603409
590660000000,-0.87407040596
590660000000,-0.868139028549
590700000000,-0.860481381416
590700000000,-0.853828191757
590750000000,-0.846924901009
590750000000,-0.839256882668
590790000000,-0.834689259529
590790000000,-0.826767206192
590840000000,-0.818560600281
590840000000,-0.809254050255
590880000000,-0.801046729088
590920000000,-0.7904702425
590970000000,-0.781751155853
590970000000,-0.774903535843
591010000000,-0.764446139336
591010000000,-0.756615042686
591010000000,-0.749139547348
591060000000,-0.742387533188
591060000000,-0.735347270966
591070000000,-0.728793740273
591090000000,-0.721079468727
591140000000,-0.715077877045
591140000000,-0.708861231804
591180000000,-0.700775027275
591190000000,-0.690034627914
591230000000,-0.678505539894
591270000000,-0.670682549477
591320000000,-0.660529136658
591320000000,-0.650663971901
591360000000,-0.638727903366
591360000000,-0.633556485176
591410000000,-0.625256061554
591410000000,-0.618615269661
591450000000,-0.607931137085
591450000000,-0.599213719368
591450000000,-0.592461228371
591500000000,-0.583581566811
591500000000,-0.576161146164
591510000000,-0.569155573845
591540000000,-0.560638308525
591580000000,-0.549516916275
591620000000,-0.537625908852
591620000000,-0.530706882477
591670000000,-0.5207914114
591690000000,-0.50953066349
591730000000,-0.494017958641
591780000000,-0.480093121529
591820000000,-0.468178749084
591850000000,-0.456378936768
591900000000,-0.448039889336
591900000000,-0.439966201782
591940000000,-0.432916998863
591950000000,-0.423631310463
591990000000,-0.415305018425
592030000000,-0.409519791603
592030000000,-0.40348136425
592080000000,-0.397658586502
592080000000,-0.39180290699
592080000000,-0.385625720024
592120000000,-0.378254294395
592120000000,-0.371768712997
